model,os,sdk,uv,avg_duration
OPPO R9s,6.0.1,0.0.0.1,5910,27.088069207574595
OPPO R9m,5.1,0.0.0.1,9760,92.17175682490578
OPPO R9tm,5.1,0.0.0.1,327,93.76195416827927
OPPO R9s Plus,6.0.1,0.0.0.1,944,44.68760749294249
OPPO R9sk,6.0.1,0.0.0.1,384,28.416720318645883
OPPO A59s,5.1,0.0.0.1,249,89.10189064212464
OPPO A33,5.1.1,0.0.0.1,347,259.1041548399772
OPPO R9 Plusm A,5.1.1,0.0.0.1,307,120.90488549915268
OPPO R7s,4.4.4,0.0.0.1,450,317.0320835436313
OPPO R7sm,5.1.1,0.0.0.1,339,306.18528963610214
